,colonial_affairs,social_security,workplace_safety,schools,police,health_system,home_affairs,centralization,suffrage,culture,diplomacy,economy
agrarian_populists,x,,,,,,,x,,,,
anarchists,,,,,,,,,,,,
conservatives,,,,,x,,x,,x,,x,
fascists,x,,,,,,x,,,,x,
liberals,,,,,,,x,,x,,,x
market_liberals,,,,,,x,,,x,,,x
national_liberals,x,,,,,,,,,,x,x
radicals,,,,,,,x,,x,x,,
reactionaries,x,,,x,,,,,,x,,
reformist_socialists,,x,x,,,x,,,,,,x
revolutionist_socialists,,x,x,,,,,x,,,,
socialists,,x,x,,,,,,,,,
armed_forces,,,,,x,,,,,,x,
petty_bourgeoisie,,,,,x,,x,x,,,,
devout,,,,x,,x,,,,x,,
industrialists,,x,,,,,,x,,,,x
landowners,x,,,,,,,x,,,,
intelligentsia,,,,x,x,,,,,,,x
rural_folk,x,,,,,,,x,,,,
trade_unions,,x,x,x,,x,,,,,,
